return_period_years,mag_bin,dist_bin,fraction
2475,6.75,230.0,1.5784358383635295e-05
2475,6.75,250.0,6.882640593877995e-06
2475,6.75,270.0,2.3835177112310546e-06
2475,6.75,290.0,1.1502659079017093e-06
2475,7.25,10.0,0.09440221689895656
2475,7.25,30.0,0.003347318592305852
2475,7.25,50.0,0.00017806831383208034
2475,7.25,70.0,2.566372265437891e-05
2475,7.25,90.0,0.07010544393727351
2475,7.25,110.0,0.08447807735363427
2475,7.25,130.0,0.025847319617710775
2475,7.25,150.0,0.006104509743949623
2475,7.25,170.0,0.0025016078588333515
2475,7.25,190.0,0.0010769132949200646
2475,7.25,210.0,0.0007131772241400584
2475,7.25,230.0,0.0002293259072696448
2475,7.25,250.0,0.00013282411860912933
2475,7.25,270.0,5.7069438650516e-05
2475,7.25,290.0,3.9829631893252236e-05
2475,7.75,10.0,0.03290526517597386
2475,7.75,30.0,0.0032974787347070113
2475,7.75,50.0,0.00010516206571263243
2475,7.75,70.0,1.8426488086973957e-05
2475,7.75,90.0,0.08908626684468708
2475,7.75,110.0,0.09561129402871897
2475,7.75,130.0,0.021403717270673108
2475,7.75,150.0,0.007491274290420536
2475,7.75,170.0,0.002826871325375155
2475,7.75,190.0,0.0017234136820885463
2475,7.75,210.0,0.0008935830301069434
2475,7.75,230.0,0.00044980769432985553
2475,7.75,250.0,0.0002567166512741709
2475,7.75,270.0,0.00011090656031624055
2475,7.75,290.0,7.065716096080939e-05
2475,8.25,10.0,0.0012283618432684929
2475,8.25,30.0,9.044021517189412e-05
2475,8.25,50.0,8.99188305534516e-06
2475,8.25,70.0,1.6012608879666163e-06
2475,8.25,90.0,0.06406027124262106
2475,8.25,110.0,0.07069693975958083
2475,8.25,130.0,0.007037736812923862
2475,8.25,150.0,0.007804451889234865
2475,8.25,170.0,0.0029252035605477145
2475,8.25,190.0,0.0025173973776977995
2475,8.25,210.0,0.001105250098919183
2475,8.25,230.0,0.0006713881364567573
2475,8.25,250.0,0.00047180766866594914
2475,8.25,270.0,0.00017237491945137733
2475,8.25,290.0,7.235650032694383e-05
2475,8.75,90.0,0.02080020016014242
2475,8.75,110.0,0.03146487982763508
2475,8.75,130.0,0.004654730166995011
2475,8.75,150.0,0.0016452256807604306
2475,8.75,170.0,0.0003888040861551495
2475,8.75,190.0,0.0004764721158798277
2475,8.75,210.0,0.00019067683915875616
2475,8.75,230.0,7.877895727933756e-05
2475,8.75,250.0,4.9535921513456856e-05
2475,8.75,270.0,1.6905495738479376e-05
2475,8.75,290.0,4.5745860705789594e-08
2475,9.25,110.0,0.009304453748927575
