imt,level,mean_poe,p16_poe,p84_poe
SA(1.0),0.04,0.011453947983682156,0.006974311079829931,0.015193542465567589
SA(1.0),0.052,0.007332746405154467,0.004279909655451775,0.009769454598426819
SA(1.0),0.068,0.004414523486047983,0.0024552876129746437,0.006149672903120518
SA(1.0),0.089,0.002502513350918889,0.0013238193932920694,0.0036757728084921837
SA(1.0),0.12,0.0012360832188278437,0.0006204251549206674,0.0019337169360369444
SA(1.0),0.15,0.0006911443779245019,0.00033547289785929024,0.0011377858463674784
SA(1.0),0.2,0.0003040048759430647,0.00014291245315689594,0.0005382021772675216
SA(1.0),0.26,0.00013377759023569524,5.646118734148331e-05,0.00023983394203241915
SA(1.0),0.34,5.383389725466259e-05,1.9043231077375822e-05,0.00010085292888106778
SA(1.0),0.44,2.0997351384721696e-05,6.633631073782453e-06,4.381809776532464e-05
SA(1.0),0.58,7.133589861041401e-06,2.066219622065546e-06,1.52713564602891e-05
SA(1.0),0.76,2.3141499241319252e-06,5.527679718397849e-07,4.719604476122186e-06
SA(1.0),0.99,7.197059517238813e-07,1.5540888398390962e-07,1.3683212500836817e-06
SA(1.0),1.29,2.0852209559052426e-07,4.328481750803803e-08,3.680593749777472e-07
SA(1.0),1.69,5.437302164068569e-08,7.609661345497898e-09,9.953024715514402e-08
SA(1.0),2.2,1.3425251133014626e-08,1.3920874453177134e-09,2.2966741397567603e-08
SA(1.0),2.88,2.940109267157709e-09,3.019154926064971e-10,6.214118997149853e-09
SA(1.0),3.83,5.394209523501559e-10,7.803779844550718e-11,1.3604324333726936e-09
SA(2.0),4.6e-05,0.676666796207428,0.6417264342308044,0.7088431119918823
SA(2.0),0.002,0.14540113508701324,0.12216711044311523,0.1641167849302292
SA(2.0),0.0027,0.11273226886987686,0.09254305809736252,0.12922072410583496
SA(2.0),0.0036,0.08671259880065918,0.06974384188652039,0.10073651373386383
SA(2.0),0.0049,0.06429681926965714,0.05024629831314087,0.07502347230911255
SA(2.0),0.0065,0.048080552369356155,0.0365346260368824,0.05619042366743088
SA(2.0),0.0086,0.035388872027397156,0.025783685967326164,0.04125508293509483
SA(2.0),0.011,0.02650943212211132,0.018326083198189735,0.030686473473906517
SA(2.0),0.015,0.01780807599425316,0.011255933903157711,0.020874636247754097
SA(2.0),0.02,0.011795689351856709,0.006788415834307671,0.014244901947677135
SA(2.0),0.026,0.007750869728624821,0.004072439391165972,0.0096129747107625
SA(2.0),0.034,0.0047926828265190125,0.002264180453494191,0.006086895242333412
SA(2.0),0.044,0.0028559942729771137,0.0011933853384107351,0.003689106786623597
SA(2.0),0.058,0.0015330855967476964,0.0005617092247121036,0.001998962601646781
SA(2.0),0.076,0.0007746621267870069,0.0002414514747215435,0.0010088218841701746
SA(2.0),0.099,0.00036817218642681837,9.790256444830447e-05,0.0004736908304039389
SA(2.0),0.13,0.00015734005137346685,3.555815419531427e-05,0.00019761855946853757
SA(2.0),0.17,6.24365929979831e-05,1.2698058526439127e-05,7.572554022772238e-05
SA(2.0),0.22,2.3602082364959642e-05,4.504164280660916e-06,2.740890340646729e-05
SA(2.0),0.29,7.571254172944464e-06,1.4559335568264942e-06,8.359359526366461e-06
SA(2.0),0.38,2.258545237054932e-06,5.004515060136328e-07,2.5718188680912135e-06
SA(2.0),0.49,6.612184506593621e-07,1.702758538613125e-07,7.995991495590715e-07
SA(2.0),0.65,1.5120888008368638e-07,3.5536629638954764e-08,2.0295776437251334e-07
SA(2.0),0.84,3.534177750452727e-08,7.217483943833258e-09,5.4154870809952627e-08
SA(2.0),1.1,6.509119465647473e-09,9.368802400544496e-10,1.210763755921107e-08
SA(2.0),1.44,1.0277519946200186e-09,1.6199019903240242e-10,2.372097851477406e-09
SA(2.0),1.91,1.2721412812055632e-10,3.386335656330175e-11,1.9904844439366798e-10
